date,result
2020-08-01,707
2020-08-02,2370
2020-08-03,2151
2020-08-04,2127
2020-08-05,2257
2020-08-06,2315
2020-08-07,500
2020-08-08,503
2020-08-09,634
2020-08-10,2399
2020-08-11,2369
2020-08-12,2399
2020-08-13,2369
2020-08-14,2445
2020-08-15,1688
2020-08-16,1059
2020-08-17,894
2020-08-18,2338
2020-08-19,2369
2020-08-20,2369
2020-08-21,2445
2020-08-22,799
2020-08-23,1059
2020-08-24,2151
2020-08-25,2445
2020-08-26,2445
2020-08-27,2370
2020-08-28,2370
2020-08-29,2257
2020-08-30,722
2020-08-31,2370
